dataset,seed,lambda,auc_roc,neg_brier
Breast Cancer,3,1.2,0.9980347199475925,-0.01591638097729502
Breast Cancer,3,1.3,0.99737962659679,-0.016375549199570648
Breast Cancer,3,1.4,0.99737962659679,-0.016862884060263036
Breast Cancer,3,1.5,0.99737962659679,-0.017242584142692065
Breast Cancer,3,1.6,0.99737962659679,-0.017494818857742966
Breast Cancer,3,1.7,0.99737962659679,-0.01764943141361207
Breast Cancer,3,1.8,0.99737962659679,-0.017739173576579566
Breast Cancer,3,1.9,0.99737962659679,-0.01778788425188661
Breast Cancer,3,2.0,0.99737962659679,-0.01781103952270032
Breast Cancer,4,0.0,0.9868981329839502,-0.033391082660241635
Breast Cancer,4,0.1,0.986570586308549,-0.033652003385380776
Breast Cancer,4,0.2,0.986570586308549,-0.0340020667661773
Breast Cancer,4,0.3,0.986570586308549,-0.03449112494222843
Breast Cancer,4,0.4,0.9862430396331477,-0.03520620878227788
Breast Cancer,4,0.5,0.9855879462823453,-0.036289232862854404
Breast Cancer,4,0.6,0.9849328529315428,-0.03783006908354222
Breast Cancer,4,0.7,0.9846053062561415,-0.038717100240268
Breast Cancer,4,0.8,0.9882083196855552,-0.03479442423373562
Breast Cancer,4,0.9,0.9905011464133638,-0.031062559096817252
Breast Cancer,4,1.0,0.9914837864395676,-0.03000711359387335
Breast Cancer,4,1.1,0.9918113331149688,-0.02963133243897659
Breast Cancer,4,1.2,0.9918113331149688,-0.02944432441107353
Breast Cancer,4,1.3,0.9924664264657713,-0.029331225349945846
Breast Cancer,4,1.4,0.9924664264657713,-0.029254667896236607
Breast Cancer,4,1.5,0.9924664264657713,-0.02919904410514883
Breast Cancer,4,1.6,0.9924664264657713,-0.02915663451261802
Breast Cancer,4,1.7,0.9924664264657713,-0.0291231500318542
Breast Cancer,4,1.8,0.9927939731411726,-0.029096000419888916
Breast Cancer,4,1.9,0.9927939731411726,-0.029073521120013025
Breast Cancer,4,2.0,0.9927939731411726,-0.02905458988082579
Heart Disease,0,0.0,0.9,-0.13325801982249488
Heart Disease,0,0.1,0.9,-0.13321082484693397
Heart Disease,0,0.2,0.9,-0.13315277880030796
Heart Disease,0,0.3,0.9,-0.1330799834268619
Heart Disease,0,0.4,0.9,-0.13298657527044316
Heart Disease,0,0.5,0.9,-0.1328634159215366
Heart Disease,0,0.6,0.9,-0.1326956768557136
Heart Disease,0,0.7,0.9013888888888889,-0.13245818854195404
Heart Disease,0,0.8,0.9041666666666667,-0.13210611876301803
Heart Disease,0,0.9,0.9041666666666667,-0.13155581490838184
Heart Disease,0,1.0,0.9083333333333333,-0.13064595203142743
Heart Disease,0,1.1,0.9083333333333333,-0.12906481384095872
Heart Disease,0,1.2,0.9111111111111111,-0.12626912596594064
Heart Disease,0,1.3,0.9166666666666666,-0.12231647679831824
Heart Disease,0,1.4,0.9152777777777777,-0.12009770452682701
Heart Disease,0,1.5,0.9166666666666667,-0.12016263707195778
Heart Disease,0,1.6,0.9152777777777777,-0.120746312357074
Heart Disease,0,1.7,0.9138888888888889,-0.12127349428479815
Heart Disease,0,1.8,0.9138888888888889,-0.12169083908989586
Heart Disease,0,1.9,0.9138888888888889,-0.12202125131618893
Heart Disease,0,2.0,0.9138888888888889,-0.12228793176457443
Heart Disease,1,0.0,0.9222222222222222,-0.11231223762369849
Heart Disease,1,0.1,0.9208333333333334,-0.11186903961437861
Heart Disease,1,0.2,0.9222222222222223,-0.1114327619469301
Heart Disease,1,0.3,0.925,-0.11103757756365835
Heart Disease,1,0.4,0.9222222222222222,-0.1107176868694807
Heart Disease,1,0.5,0.9236111111111112,-0.11048945993202036
Heart Disease,1,0.6,0.925,-0.11033703230942059
Heart Disease,1,0.7,0.9222222222222223,-0.1102211376203915
Heart Disease,1,0.8,0.9222222222222223,-0.11011567248550665
Heart Disease,1,0.9,0.9222222222222222,-0.11004857695171097
Heart Disease,1,1.0,0.9180555555555556,-0.11010978959448586
Heart Disease,1,1.1,0.9152777777777777,-0.11040368591961938
Heart Disease,1,1.2,0.9166666666666666,-0.11097750074680049
Heart Disease,1,1.3,0.9138888888888889,-0.11179295351087405
Heart Disease,1,1.4,0.9152777777777777,-0.11275807432613291
Heart Disease,1,1.5,0.9125,-0.11377589776166477
Heart Disease,1,1.6,0.9111111111111111,-0.11477325764897757
Heart Disease,1,1.7,0.9083333333333333,-0.11570644178759427
Heart Disease,1,1.8,0.9069444444444444,-0.11655519840127457
Heart Disease,1,1.9,0.9069444444444444,-0.11731441776897104
Heart Disease,1,2.0,0.9083333333333333,-0.11798741227537583
Heart Disease,2,0.0,0.8972222222222221,-0.12840736813907286
Heart Disease,2,0.1,0.898611111111111,-0.12827969919854518
Heart Disease,2,0.2,0.898611111111111,-0.12813217794708606
Heart Disease,2,0.3,0.898611111111111,-0.12796056215455084
Heart Disease,2,0.4,0.898611111111111,-0.1277598302548632
Heart Disease,2,0.5,0.8972222222222223,-0.12752451211307889
Heart Disease,2,0.6,0.8958333333333334,-0.12724982723890196
Heart Disease,2,0.7,0.8958333333333334,-0.12693444243342478
Heart Disease,2,0.8,0.8958333333333334,-0.12658555186675505
Heart Disease,2,0.9,0.8958333333333334,-0.1262256254766477
Heart Disease,2,1.0,0.8958333333333334,-0.12590317416653485
